scenario_id,repetition_number,random_seed,started_at,duration_seconds,total_requests,successful_requests,failed_requests,success_rate,avg_latency_ms,p95_latency_ms,detection_time_seconds,nodes_quarantined
byzantine_20pct,1,2001,1785836474.2686536,277.82,419,419,0,1.0,80.48,124.67,67.48,"['node_1', 'node_5']"
byzantine_20pct,1,2001,1785846236.9555535,738.86,386,386,0,1.0,80.68,119.3,66.78,"['node_5', 'node_1']"
byzantine_20pct,1,2001,1785847291.9750292,277.58,400,400,0,1.0,92.37,135.8,7.31,"['node_1', 'node_5']"
byzantine_20pct,1,2001,1785848405.7352471,277.66,411,411,0,1.0,74.73,104.91,66.8,"['node_5', 'node_1']"
byzantine_20pct,1,2001,1785851723.2141452,277.45,398,398,0,1.0,77.35,114.82,69.87,"['node_1', 'node_5']"
byzantine_20pct,1,2001,1785858188.8257933,278.24,402,402,0,1.0,81.98,133.15,66.21,"['node_5', 'node_1']"
byzantine_20pct,1,2001,1785867790.4676871,278.48,427,427,0,1.0,96.97,197.22,65.09,"['node_1', 'node_5']"
byzantine_20pct,1,2001,1785880729.9666812,277.74,448,448,0,1.0,66.07,109.42,,[]
byzantine_20pct,1,2001,1785881097.0930595,277.89,449,449,0,1.0,65.59,108.43,,[]
byzantine_20pct,1,2001,1785882686.8011208,278.08,436,436,0,1.0,82.2,129.95,62.84,"['node_1', 'node_5']"
